Esn,Localized Device Description,Device Description,Ip,Country,Region Code Display Name,Near Location,Ts
NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-27455-96B9559618F2A965C4FAB3866978E2B2FDF2A270A4238DE6779A82032DFE143C,google_Chromecast,google_Chromecast,100.43.16.187,US,Louisiana,GRAMBLING,2024-01-13 15:12:58
NFANDROID2-PRV-SABRINA-GOOGLCHROMECAST-27455-96B9559618F2A965C4FAB3866978E2B2FDF2A270A4238DE6779A82032DFE143C,google_Chromecast,google_Chromecast,100.43.16.187,US,Louisiana,RUSTON,2024-01-09 07:15:34
NFAPPL-02-IPHONE11=2-B154371704E0D53FB2183C0FED550DCBE451C949EA4FAA00CC3012423D7FE386,APPLE_iPhone11-2,APPLE_iPhone11-2,2c0f:eb68:62b:e100:7c6d:df6:7331:6c23,RW,Ville De Kigali,KIGALI,2024-02-13 07:11:19
NFAPPL-02-IPHONE13=2-AA3B854D66681C42321C89D888BEDEA354A06F61EFB2D8DDE6273D90D4AEB3E6,APPLE_iPhone13-2,APPLE_iPhone13-2,76.78.86.7,US,Louisiana,GRAMBLING,2024-01-09 14:09:06
NFCDCH-MC-KTTU8U48VEEX8A9587XA37C318R56E,chrome-cadmium,chrome-cadmium,51.158.237.65,NL,Noord-holland,AMSTERDAM,2024-03-01 04:03:49
NFCDCH-MC-KTTU8U48VEEX8A9587XA37C318R56E,chrome-cadmium,chrome-cadmium,100.43.17.245,US,Louisiana,GRAMBLING,2024-01-09 06:38:22
NFCDCH-MC-KTTU8U48VEEX8A9587XA37C318R56E,chrome-cadmium,chrome-cadmium,2600:387:1:803:0:0:0:73,US,Texas,EL PASO,2024-03-03 22:37:18
NFCDCH-MC-KYLXAKG2157LNAFQ8KKET1DT5MY5XL,chrome-cadmium,chrome-cadmium,51.158.234.221,NL,Noord-holland,AMSTERDAM,2024-03-12 05:06:21
NFCDCH-MC-KYLXAKG2157LNAFQ8KKET1DT5MY5XL,chrome-cadmium,chrome-cadmium,51.15.73.89,NL,Noord-holland,AMSTERDAM,2024-03-17 09:12:34
NFCDCH-MC-KYLXAKG2157LNAFQ8KKET1DT5MY5XL,chrome-cadmium,chrome-cadmium,76.78.86.7,US,Louisiana,GRAMBLING,2024-03-07 21:26:08
NFCDCH-MC-KYLXAKG2157LNAFQ8KKET1DT5MY5XL,chrome-cadmium,chrome-cadmium,2001:bc8:5090:80:dc00:ff:fe12:20ef,NL,Noord-holland,AMSTERDAM,2024-04-28 20:52:29
NFCDCH-MC-KYLXAKG2157LNAFQ8KKET1DT5MY5XL,chrome-cadmium,chrome-cadmium,100.43.17.245,US,Louisiana,GRAMBLING,2024-03-07 21:24:41
